item_id,name,category,size,initial_position,new_position
1,Bulk Rice Sack (100kg),food,L,"(12,1,1-3)","(25,1,2-4)"
2,Vacuum Cleaner,household goods,M,"(8,1,3-4)","(15,2,1-2)"
3,Detergent (10L),chemicals,M,"(25,1,2-3)","(14,2,4-5)"
4,Canned Tuna,food,M,"(9,2,3-4)","(7,2,1-2)"
5,Canned Tuna,food,M,"(11,3,4-5)","(25,2,2-3)"
6,Bleach (5L),chemicals,M,"(23,3,2-3)","(32,1,1-2)"
7,Detergent (10L),chemicals,M,"(27,3,3-4)","(11,1,4-5)"
8,Steel Drum (200L),chemicals,L,"(34,2,1-3)","(15,1,3-5)"
9,Canned Tuna,food,M,"(29,3,3-4)","(21,2,1-2)"
10,Rice Pack,food,M,"(16,2,3-4)","(33,1,3-4)"
11,Vacuum Cleaner,household goods,M,"(7,2,4-5)","(21,3,3-4)"
12,Dishwasher,household goods,M,"(36,3,3-4)","(26,2,1-2)"
13,Heavy Machinery Part,household goods,L,"(26,2,1-3)","(21,1,3-5)"
14,Rice Pack,food,M,"(11,2,2-3)","(19,2,4-5)"
15,Blender,household goods,M,"(20,3,3-4)","(31,2,2-3)"
16,Bleach (5L),chemicals,M,"(7,1,3-4)","(14,2,1-2)"
17,Vacuum Cleaner,household goods,M,"(7,2,1-2)","(29,2,1-2)"
18,Frozen Pizza (500g),frozen,M,"(5,2,4-5)","(1,1,1-2)"
19,Rice Pack,food,M,"(31,3,1-2)","(24,3,4-5)"
20,Detergent (10L),chemicals,M,"(25,3,1-2)","(26,1,1-2)"
21,Rice Pack,food,M,"(30,2,3-4)","(32,2,1-2)"
22,Rice Pack,food,M,"(16,2,1-2)","(33,2,4-5)"
23,Heavy Machinery Part,household goods,L,"(16,1,1-3)","(35,1,1-3)"
24,Dishwasher,household goods,M,"(17,3,2-3)","(29,1,1-2)"
25,Rice Pack,food,M,"(32,2,2-3)","(35,2,1-2)"
26,Frozen Pizza (500g),frozen,M,"(1,3,2-3)","(2,1,1-2)"
27,Blender,household goods,M,"(20,1,3-4)","(12,1,1-2)"
28,Bleach (5L),chemicals,M,"(28,1,2-3)","(24,1,1-2)"
29,Rice Pack,food,M,"(26,1,4-5)","(35,2,4-5)"
30,Bulk Rice Sack (100kg),food,L,"(18,3,1-3)","(20,1,2-4)"
31,Frozen Peas (1kg),frozen,M,"(1,3,4-5)","(5,1,4-5)"
32,Detergent (10L),chemicals,M,"(14,2,3-4)","(11,2,1-2)"
33,Vacuum Cleaner,household goods,M,"(19,1,3-4)","(34,1,1-2)"
34,Frozen Pizza (500g),frozen,M,"(3,2,4-5)","(1,1,4-5)"
35,Frozen Pizza (500g),frozen,M,"(2,3,3-4)","(6,2,2-3)"
36,Water Bottle (500ml),beverages,S,"(20,3,1)","(8,3,4)"
37,Orange Juice (1L),beverages,M,"(31,3,3-4)","(33,1,1-2)"
38,Bulk Rice Sack (100kg),food,L,"(36,1,1-3)","(18,1,3-5)"
39,Rice Pack,food,M,"(34,1,4-5)","(27,3,1-2)"
40,Frozen Pizza (500g),frozen,M,"(4,1,4-5)","(6,1,1-2)"
