id,name,weight,category,slots_required,retrieval_counter,insertion_counter
item001,Value Frozen Pack,18.1,frozen,2,74,4
item002,Value Beverages Box,27.5,beverages,1,75,18
item003,Value Food Box,37.7,food,2,0,9
item004,Eco Beverages Box,40.6,beverages,1,43,3
item005,Eco Chemicals Pack,55.1,chemicals,3,13,2
item006,Value Chemicals Pack,49.6,chemicals,1,82,10
item007,Premium Household goods Box,59.4,household goods,3,94,11
item008,Value Chemicals Pack,53.6,chemicals,2,14,3
item009,Eco Chemicals Box,52.1,chemicals,2,61,19
item010,Value Frozen Pack,27.8,frozen,1,90,10
item011,Eco Food Box,50.4,food,2,31,19
item012,Eco Household goods Pack,39.3,household goods,1,78,12
item013,Value Chemicals Unit,15.5,chemicals,2,39,13
item014,Value Food Box,71.4,food,1,41,3
item015,Eco Household goods Unit,37.5,household goods,3,8,9
item016,Value Chemicals Pack,61.1,chemicals,2,62,15
item017,Value Household goods Pack,18.0,household goods,3,68,4
item018,Premium Food Box,49.3,food,3,82,3
item019,Premium Beverages Pack,74.6,beverages,1,34,13
item020,Eco Food Pack,22.4,food,2,33,4
item021,Premium Frozen Pack,8.4,frozen,3,60,8
item022,Value Frozen Box,3.0,frozen,1,44,18
item023,Premium Chemicals Box,63.4,chemicals,1,59,15
item024,Eco Food Pack,42.1,food,3,95,20
item025,Premium Food Pack,1.4,food,3,51,12
item026,Eco Beverages Pack,71.6,beverages,2,57,2
item027,Premium Household goods Pack,21.7,household goods,2,43,8
item028,Premium Chemicals Box,37.1,chemicals,3,5,1
item029,Value Household goods Unit,62.7,household goods,1,56,20
item030,Value Food Unit,8.5,food,2,24,7
item031,Eco Beverages Unit,72.8,beverages,2,96,6
item032,Premium Chemicals Box,46.6,chemicals,2,96,19
item033,Premium Beverages Unit,70.8,beverages,2,25,20
item034,Premium Beverages Box,68.7,beverages,2,6,3
item035,Premium Household goods Unit,29.7,household goods,1,5,4
item036,Value Household goods Box,41.7,household goods,1,56,4
item037,Value Frozen Pack,40.6,frozen,2,38,6
item038,Eco Chemicals Box,36.8,chemicals,1,14,17
item039,Premium Chemicals Pack,10.8,chemicals,3,68,6
item040,Value Beverages Box,10.2,beverages,2,85,5
item041,Value Chemicals Box,19.7,chemicals,3,94,17
item042,Eco Beverages Box,71.0,beverages,2,16,8
item043,Value Frozen Box,71.4,frozen,2,56,19
item044,Eco Household goods Box,50.2,household goods,2,45,3
item045,Premium Frozen Pack,21.6,frozen,1,87,5
item046,Value Frozen Pack,30.7,frozen,1,62,5
item047,Eco Chemicals Pack,28.6,chemicals,2,17,8
item048,Value Chemicals Pack,10.2,chemicals,1,3,8
item049,Premium Frozen Box,8.0,frozen,2,78,16
item050,Eco Food Unit,71.9,food,1,71,15
